CSC 103,TEST I,,,,,,TEST II,,,,,,QUIZZES,,,,,LABS,,,,,,,TOTAL,"FINAL 
EXAM",,,,,,,TOTAL,Grade
SEC,Q1,Q2,Q3,Q4,T1,T1,Q1,Q2,Q3,Q4,T2,T2,Q1,Q2,PQ1,PQ2,Quiz,A1,A2,A3,A4,A5,A6,Lab,,Q1,Q2,Q3,Q4,Q5,Final,Final,,
,8,10,10,12,40,20%,6,6,12,16,40,20%,10,10,10,10,10%,10,10,10,10,10,10,10%,60%,16,14,16,14,20,80,40%,100%,
1,8.0,7.0,7.5,11.0,33.5,16.7,3.0,2.0,10.8,10.0,25.8,12.9,9.0,9.0,6.0,6.0,7.2,10.0,10.0,7.0,8.0,10.0,9.0,9.0,45.8,11.8,11.5,14.0,5.0,12.0,54.3,27.1,73,C
1,8.0,8.6,7.5,12.0,36.1,18.1,5.0,5.5,8.0,10.0,28.5,14.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,4.0,8.2,50.5,13.5,12.0,15.0,4.0,8.0,52.5,26.3,77,B-
1,8.0,4.1,7.0,11.0,30.1,15.0,3.0,3.5,5.5,7.0,19.0,9.5,9.0,9.0,8.0,5.0,7.5,10.0,10.0,5.0,8.0,,,5.5,37.5,7.0,4.3,3.0,0.0,3.0,17.3,8.6,46,F
1,6.0,7.3,6.0,11.0,30.3,15.2,,,,,0.0,0.0,9.0,10.0,8.0,10.0,9.2,10.0,10.0,10.0,10.0,8.0,8.0,9.3,33.7,,,,,,,,,F
1,3.0,3.3,8.0,10.5,24.8,12.4,1.5,3.0,7.5,9.0,21.0,10.5,10.0,10.0,8.0,7.0,8.5,10.0,10.0,7.0,,6.0,4.0,6.2,37.6,7.0,8.5,9.0,2.0,3.0,29.5,14.8,52,F
1,0.0,0.0,2.0,1.0,3.0,1.5,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,1.5,,,,,,,,,F
1,4.0,4.7,8.0,7.0,23.7,11.8,1.5,3.0,4.5,8.0,17.0,8.5,10.0,10.0,0.0,0.0,4.0,10.0,10.0,,10.0,,,5.0,29.3,8.8,3.0,9.0,3.0,4.0,27.8,13.9,43,F
1,4.0,5.9,6.0,10.0,25.9,12.9,6.0,2.0,5.0,1.0,14.0,7.0,9.0,9.5,5.0,7.0,7.3,10.0,10.0,8.0,,7.0,,5.8,33.1,5.0,6.5,8.5,2.0,1.0,23.0,11.5,45,F
1,0.0,3.6,1.0,0.0,4.6,2.3,,,,,0.0,0.0,0.0,0.0,7.0,,2.1,,,,,,,0.0,4.4,,,,,,,,,W
1,6.0,6.1,5.0,10.0,27.1,13.5,2.5,5.0,4.8,6.0,18.3,9.1,9.5,9.0,5.0,10.0,8.2,10.0,10.0,7.0,,10.0,9.0,7.7,38.5,12.0,8.8,8.0,3.0,2.0,33.8,16.9,55,F
1,7.0,6.6,8.0,12.0,33.6,16.8,1.5,3.8,7.8,12.0,25.0,12.5,10.0,10.0,,5.0,5.5,10.0,10.0,10.0,10.0,10.0,8.0,9.7,44.4,7.0,7.0,6.5,3.5,12.0,36.0,18.0,62,D
1,8.0,8.3,10.0,12.0,38.3,19.1,6.0,6.0,11.8,13.0,36.8,18.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,9.5,57.0,14.0,13.5,16.0,5.0,16.0,64.5,32.3,89,A-
1,8.0,7.2,8.0,11.0,34.2,17.1,,,,,13.3,6.6,10.0,10.0,8.0,7.0,8.5,10.0,10.0,10.0,10.0,8.0,10.0,9.7,41.9,1.0,4.5,12.0,3.0,6.0,26.5,13.3,55,F
1,6.0,7.8,7.5,10.0,31.3,15.6,4.5,3.0,9.5,9.0,26.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,9.5,48.1,9.5,12.0,15.0,2.5,7.0,46.0,23.0,71,C
1,8.0,10.0,9.0,12.0,39.0,19.5,5.0,3.0,11.8,14.0,33.8,16.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,,7.0,7.5,53.9,13.5,12.8,15.0,3.0,11.0,55.3,27.6,82,B
1,8.0,10.0,7.5,12.0,37.5,18.8,6.0,6.0,11.5,12.0,35.5,17.8,9.5,10.0,9.0,10.0,9.6,10.0,10.0,10.0,10.0,10.0,5.0,9.2,55.3,15.0,13.0,11.5,10.0,15.0,64.5,32.3,88,A-
1,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,10.0,10.0,,,,,3.3,3.3,,,,,,,,,W
1,7.0,4.8,6.0,7.0,24.8,12.4,1.0,0.0,6.5,12.0,19.5,9.8,9.5,9.5,7.0,6.0,7.7,10.0,10.0,7.0,10.0,7.0,6.0,8.3,38.2,9.5,6.0,6.5,0.5,3.0,25.5,12.8,51,F
1,8.0,8.8,7.0,7.0,30.8,15.4,3.0,5.0,3.5,8.0,19.5,9.8,10.0,10.0,8.0,6.0,8.2,10.0,10.0,7.0,,10.0,5.0,7.0,40.3,11.8,12.5,9.0,3.0,8.0,44.3,22.1,62,D
1,8.0,9.8,8.0,12.0,37.8,18.9,,,,,26.5,13.3,10.0,9.5,,10.0,6.9,10.0,10.0,9.0,8.0,,,6.2,45.2,10.0,9.0,14.0,5.0,15.0,53.0,26.5,72,C
1,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,F
1,4.0,0.3,6.0,11.0,21.3,10.6,1.0,3.5,8.0,4.0,16.5,8.3,9.5,9.5,8.0,5.0,7.7,10.0,10.0,6.0,7.0,6.0,3.0,7.0,33.6,2.5,0.2,11.0,4.0,7.0,24.7,12.4,46,F
1,8.0,9.0,10.0,12.0,39.0,19.5,6.0,4.5,11.8,12.0,34.3,17.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.7,56.3,13.0,12.8,15.5,10.5,12.0,63.8,31.9,88,A-
1,6.0,6.1,6.0,10.5,28.6,14.3,3.0,6.0,7.8,7.0,23.8,11.9,10.0,9.5,8.0,9.0,9.0,10.0,5.0,6.0,10.0,10.0,8.0,8.2,43.3,12.5,10.5,15.0,5.0,12.0,55.0,27.5,71,C
1,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,W
1,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,F
1,6.0,6.1,6.0,4.0,22.1,11.1,5.0,3.5,5.3,2.0,15.8,7.9,9.0,10.0,6.0,5.0,7.1,10.0,10.0,7.0,10.0,,,6.2,32.2,3.0,2.5,2.0,1.5,2.0,11.0,5.5,38,F
1,2.0,8.4,8.0,12.0,30.4,15.2,2.0,5.0,11.0,3.0,21.0,10.5,9.5,9.5,8.5,9.0,9.1,10.0,10.0,5.0,8.0,8.0,,6.8,41.6,4.0,6.8,16.0,1.0,1.0,28.8,14.4,56,F
1,8.0,6.2,8.0,12.0,34.2,17.1,6.0,6.0,8.3,12.0,32.3,16.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.7,52.9,15.0,13.0,16.0,3.0,12.0,59.0,29.5,82,B
1,8.0,9.1,9.0,12.0,38.1,19.1,6.0,6.0,12.0,16.0,40.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,59.1,16.0,14.0,16.0,11.5,18.0,75.5,37.8,97,A
1,6.0,9.7,9.0,10.0,34.7,17.4,4.5,6.0,11.3,12.0,33.8,16.9,9.5,10.0,9.0,10.0,9.6,10.0,10.0,7.0,7.0,10.0,9.0,8.8,52.7,15.0,12.8,15.0,7.5,12.0,62.3,31.1,84,B+
1,3.0,5.8,6.0,11.0,25.8,12.9,1.5,0.5,11.0,14.0,27.0,13.5,10.0,10.0,7.0,6.0,7.9,10.0,10.0,5.0,8.0,,,5.5,39.8,7.0,3.0,2.0,1.5,5.0,18.5,9.3,49,F
1,6.0,8.9,8.0,12.0,34.9,17.4,5.0,5.5,12.0,15.0,37.5,18.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.8,56.0,16.0,9.5,15.5,7.5,16.0,64.5,32.3,88,A-
2,,,,,12.9,6.4,3.8,3.5,7.0,8.0,22.3,11.1,8.0,4.0,0.0,8.0,4.8,0.0,10.0,9.0,10.0,10.0,9.3,8.0,30.4,8.3,1.5,6.5,4.5,5.0,25.8,12.9,43,F
2,7.0,6.3,6.0,7.0,26.3,13.1,3.5,3.0,5.8,8.0,20.3,10.1,6.0,4.5,6.8,6.5,6.1,10.0,10.0,10.0,10.0,10.0,9.8,10.0,39.3,8.8,5.0,11.0,4.0,8.0,36.8,18.4,58,D
2,,,,,0.0,0.0,1.5,0.0,7.5,8.0,17.0,8.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,1.3,9.8,7.0,5.0,1.5,1.5,4.0,19.0,9.5,19,F
2,2.0,4.8,6.0,9.5,22.3,11.2,3.5,0.0,5.5,4.0,13.0,6.5,0.0,0.0,8.0,3.5,3.5,9.8,10.0,10.0,10.0,0.0,0.0,6.6,27.7,3.5,4.0,0.0,0.0,2.0,9.5,4.8,32,F
2,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,W
2,,,,,0.0,0.0,3.0,0.5,0.0,0.0,3.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,F
2,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,W
2,4.0,1.9,7.5,2.0,15.4,7.7,0.0,0.0,3.0,8.0,11.0,5.5,4.0,0.0,0.0,0.0,0.8,10.0,10.0,0.0,0.0,0.0,0.0,3.3,17.3,,,,,,,,,F
2,6.0,7.5,9.0,12.0,34.5,17.3,3.5,5.3,9.0,11.0,28.8,14.4,9.5,0.0,10.0,6.8,6.9,10.0,10.0,10.0,10.0,10.0,0.0,8.3,46.9,3.0,9.5,11.5,1.0,9.0,34.0,17.0,64,D+
2,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,F
2,4.0,7.6,8.0,12.0,31.6,15.8,6.0,6.0,12.0,12.0,36.0,18.0,10.0,10.0,10.0,6.3,8.9,9.8,10.0,10.0,10.0,10.0,0.0,8.3,50.9,15.0,7.5,10.0,6.0,16.0,54.5,27.3,78,B-
2,5.0,2.7,4.0,3.0,14.7,7.4,1.0,0.0,3.0,7.0,11.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,1.2,14.1,,,,,,,,,W
